"variable_en","unit_en","name_en","description_en","method_en","sampling_period_en","topic_en","variable_fr","unit_fr","name_fr","description_fr","method_fr","sampling_period_fr","topic_fr","source","preferred_hydrological_month","is_date","to_normalise","palette","script_path"
"med{dtFlood}","day","Median duration of floods","Median of the durations of floods sampled by annual maxima","1. no temporal aggregation - Qr difference between daily flow values and base flow
2. annual aggregation [Month of minimum monthly flows] - maximum of Qr
3. annual aggregation [Month of minimum monthly flows] - division by two of annual maxima to obtain a threshold
4. annual aggregation [Month of minimum monthly flows] - number of days where the difference is greater than the threshold
5. no temporal aggregation - median","Month of minimum monthly flows","Flow, High Flows, Duration","med{dtCrue}","jour","Durée médiane des crues","Médiane des durées des crues échantillonnées par maxima annuel","1. aucune agrégation temporelle - différence Qr entre les valeurs journalières de débit par le débit de base
2. agrégation annuelle [Mois du minimum des débits mensuels] - maximum de Qr
3. agrégation annuelle [Mois du minimum des débits mensuels] - division par deux des maxima annuels pour obtenir un seuil
4. agrégation annuelle [Mois du minimum des débits mensuels] - nombre de jours où la différence est supérieure au seuil
5. aucune agrégation temporelle - médiane","Mois du minimum des débits mensuels","Débit, Hautes Eaux, Durée",NA,9,FALSE,TRUE,NA,"Flow/High_Flows/criteria/med{dtFlood}.R"
"med{tQJXA}","yearday","Median of dates of the annual maximum daily discharge","","1. annual aggregation [Month of minimum monthly flows] - date of maximum
2. no temporal aggregation - median","Month of minimum monthly flows","Flow, High Flows, Seasonality","med{tQJXA}","jour de l'année","Médiane des dates du débit journalier maximal annuel","","1. agrégation annuelle [Mois du minimum des débits mensuels] - date du maximum
2. aucune agrégation temporelle - médiane","Mois du minimum des débits mensuels","Débit, Hautes Eaux, Saisonnalité",NA,9,TRUE,FALSE,NA,"Flow/High_Flows/criteria/med{tQJXA}.R"
"nQJXA-10_H1","without unit","Number of years in the near horizon where QJXA is superior to QJXA-10 from the historical period","","1. annual aggregation [Month of minimum monthly flows] - maximum (extraction from the QJXA series)
2. no temporal aggregation - calculation of the flow with a 10-year return period using the Gumbel distribution from the historical period (QJXA-10_H0)
3. no temporal aggregation - counting the number of QJXA in the near horizon above QJXA-10_H0","Month of minimum monthly flows","Flow, High Flows, Occurrence","nQJXA-10_H1","sans unité","Nombre d'années de l'horizon proche où le QJXA est supérieur au QJXA-10 de la période historique","","1. agrégation annuelle [Mois du minimum des débits mensuels] - maximum (extraction de la série des QJXA)
2. aucune agrégation temporelle - calcul du débit de période de retour 10 ans avec la loi de Gumbel sur la période historique (QJXA-10_H0)
3. aucune agrégation temporelle - décompte du nombre de QJXA de l'horizon proche au dessus du QJXA-10_H0","Mois du minimum des débits mensuels","Débit, Hautes Eaux, Occurrence",NA,9,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/High_Flows/criteria/nQJXA-10_H.R"
"nQJXA-10_H2","without unit","Number of years in the middle horizon where QJXA is superior to QJXA-10 from the historical period","","1. annual aggregation [Month of minimum monthly flows] - maximum (extraction from the QJXA series)
2. no temporal aggregation - calculation of the flow with a 10-year return period using the Gumbel distribution from the historical period (QJXA-10_H0)
3. no temporal aggregation - counting the number of QJXA in the middle horizon above QJXA-10_H0","Month of minimum monthly flows","Flow, High Flows, Occurrence","nQJXA-10_H2","sans unité","Nombre d'années de l'horizon moyen où le QJXA est supérieur au QJXA-10 de la période historique","","1. agrégation annuelle [Mois du minimum des débits mensuels] - maximum (extraction de la série des QJXA)
2. aucune agrégation temporelle - calcul du débit de période de retour 10 ans avec la loi de Gumbel sur la période historique (QJXA-10_H0)
3. aucune agrégation temporelle - décompte du nombre de QJXA de l'horizon moyen au dessus du QJXA-10_H0","Mois du minimum des débits mensuels","Débit, Hautes Eaux, Occurrence",NA,9,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/High_Flows/criteria/nQJXA-10_H.R"
"nQJXA-10_H3","without unit","Number of years in the distant horizon where QJXA is superior to QJXA-10 from the historical period","","1. annual aggregation [Month of minimum monthly flows] - maximum (extraction from the QJXA series)
2. no temporal aggregation - calculation of the flow with a 10-year return period using the Gumbel distribution from the historical period (QJXA-10_H0)
3. no temporal aggregation - counting the number of QJXA in the distant horizon above QJXA-10_H0","Month of minimum monthly flows","Flow, High Flows, Occurrence","nQJXA-10_H3","sans unité","Nombre d'années de l'horizon lointain où le QJXA est supérieur au QJXA-10 de la période historique","","1. agrégation annuelle [Mois du minimum des débits mensuels] - maximum (extraction de la série des QJXA)
2. aucune agrégation temporelle - calcul du débit de période de retour 10 ans avec la loi de Gumbel sur la période historique (QJXA-10_H0)
3. aucune agrégation temporelle - décompte du nombre de QJXA de l'horizon lointain au dessus du QJXA-10_H0","Mois du minimum des débits mensuels","Débit, Hautes Eaux, Occurrence",NA,9,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/High_Flows/criteria/nQJXA-10_H.R"
"Q10","m^{3}.s^{-1}","Flow exceeded 1 year in 10","Flow with an exceedance probability of 10 % (90th percentile)","1. no temporal aggregation - quantile at the exceedance probability of 10 %",NA,"Flow, High Flows, Intensity","Q10","m^{3}.s^{-1}","Débit dépassée 1 années sur 10","Débit avec une probabilité de dépassement de 10 % (centile 90 %)","1. aucune agrégation temporelle - quantile à la probabilité de dépassement de 10 %",NA,"Débit, Hautes Eaux, Intensité",NA,1,FALSE,TRUE,NA,"Flow/High_Flows/criteria/Q10.R"
"QJXA-10","m^{3}.s^{-1}","Annual maximum daily flow with a 10-year return period","","1. annual aggregation [Month of minimum monthly flows] - maximum (extraction from the QJXA series)
2. no temporal aggregation - calculation of the flow with a 10-year return period using the Gumbel distribution","Month of minimum monthly flows","Flow, High Flows, Intensity","QJXA-10","m^{3}.s^{-1}","Débit journalier maximal annuel de période de retour 10 ans","","1. agrégation annuelle [Mois du minimum des débits mensuels] - maximum (extraction de la série des QJXA)
2. aucune agrégation temporelle - calcul du débit de période de retour 10 ans avec la loi de Gumbel","Mois du minimum des débits mensuels","Débit, Hautes Eaux, Intensité",NA,9,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/High_Flows/criteria/QJXA-10.R"
"dtFlood","day","Duration of floods","Duration of floods, sampled by annual maxima. The series exploited is the difference between the raw flow and the base flow, assimilated to runoff Qr. Floods are identified based on the annual maximum in the Qr series, and for each flood, the duration is defined as the number of days where Qr is above half of the annual maxima.","1. no temporal aggregation - Qr difference between daily flow values and base flow
2. annual aggregation [Month of minimum monthly flows] - maximum Qr
3. annual aggregation [Month of minimum monthly flows] - division by two of the annual maxima to obtain a threshold
4. annual aggregation [Month of minimum monthly flows] - number of days where the difference is above the threshold","Month of minimum monthly flows","Flow, High Flows, Duration","dtCrue","jour","Durée des crues","Durée des crues, échantillonnées par maxima annuel. La série exploitée est la différence entre le débit brut et le débit de base, assimilé au ruissellement Qr. Les crues sont identifiées sur la base du maximum annuel dans la série des Qr et pour chaque crue, la durée est définie comme le nombre de jours où Qr est supérieur au maxima annuel divisé par 2.","1. aucune agrégation temporelle - différence Qr entre les valeurs journalières de débit par le débit de base
2. agrégation annuelle [Mois du minimum des débits mensuels] - maximum de Qr
3. agrégation annuelle [Mois du minimum des débits mensuels] - division par deux des maxima annuels pour obtenir un seuil
4. agrégation annuelle [Mois du minimum des débits mensuels] - nombre de jours où la différence est supérieure au seuil","Mois du minimum des débits mensuels","Débit, Hautes Eaux, Durée",NA,9,FALSE,TRUE,"#60265e #893687 #c05fbe #dba3da #edd1ec #f6ddd3 #edbaa7 #e08765 #CD5629 #8f3c1d","Flow/High_Flows/serie/dtFlood.R"
"fQ01A","day.year^{-1}","Annual frequency of exceeding Q01","Annual frequency of exceeding Q > Q01, where Q01 is the flow exceeded 1 % of the time, extracted from the ranked flow curve","1. no temporal aggregation - the quantile at the 1 % exceedance probability is taken as the threshold
2. annual aggregation [Month of minimum monthly flows] - ratio of the number of days with flow exceeding the threshold to the number of days in the year","Month of minimum monthly flows","Flow, High Flows, Frequency","fQ01A","jour.an^{-1}","Fréquence annuelle de dépassement du Q01","Fréquence annuelle de dépassement de Q > Q01, Q01 est le débit dépassé 1 % du temps, extrait de la courbe des débits classés","1. aucune agrégation temporelle - le quantile à la probabilité au dépassement de 1 % est pris comme seuil
2. agrégation annuelle [Mois du minimum des débits mensuels] - rapport du nombre de jours où le débit dépasse le seuil par le nombre de jours dans l’année","Mois du minimum des débits mensuels","Débit, Hautes Eaux, Fréquence",NA,9,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/High_Flows/serie/fQ01A.R"
"fQ05A","day.year^{-1}","Annual frequency of exceeding Q05","Annual frequency of exceeding Q > Q05, where Q05 is the flow exceeded 5 % of the time, extracted from the ranked flow curve","1. no temporal aggregation - the quantile at the 5 % exceedance probability is taken as the threshold
2. annual aggregation [Month of minimum monthly flows] - ratio of the number of days with flow exceeding the threshold to the number of days in the year","Month of minimum monthly flows","Flow, High Flows, Frequency","fQ05A","jour.an^{-1}","Fréquence annuelle de dépassement du Q05","Fréquence annuelle de dépassement de Q > Q05, Q05 est le débit dépassé 5 % du temps, extrait de la courbe des débits classés","1. aucune agrégation temporelle - le quantile à la probabilité au dépassement de 5 % est pris comme seuil
2. agrégation annuelle [Mois du minimum des débits mensuels] - rapport du nombre de jours où le débit dépasse le seuil par le nombre de jours dans l’année","Mois du minimum des débits mensuels","Débit, Hautes Eaux, Fréquence",NA,9,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/High_Flows/serie/fQ05A.R"
"fQ10A","day.year^{-1}","Annual frequency of exceeding Q10","Annual frequency of exceeding Q > Q10, where Q10 is the flow exceeded 10 % of the time, extracted from the ranked flow curve","1. no temporal aggregation - the quantile at the 10 % exceedance probability is taken as the threshold
2. annual aggregation [Month of minimum monthly flows] - ratio of the number of days with flow exceeding the threshold to the number of days in the year","Month of minimum monthly flows","Flow, High Flows, Frequency","fQ10A","jour.an^{-1}","Fréquence annuelle de dépassement du Q10","Fréquence annuelle de dépassement de Q > Q10, Q10 est le débit dépassé 10 % du temps, extrait de la courbe des débits classés","1. aucune agrégation temporelle - le quantile à la probabilité au dépassement de 10 % est pris comme seuil
2. agrégation annuelle [Mois du minimum des débits mensuels] - rapport du nombre de jours où le débit dépasse le seuil par le nombre de jours dans l’année","Mois du minimum des débits mensuels","Débit, Hautes Eaux, Fréquence",NA,9,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/High_Flows/serie/fQ10A.R"
"Q01A","m^{3}.s^{-1}","Annual flow exceeded 1 year in 100","Annual flow with an exceedance probability of 1 % (99th percentile)","1. annual aggregation [01-01, 12-31] - quantile at the exceedance probability of 1 %","01-01, 12-31","Flow, High Flows, Intensity","Q01A","m^{3}.s^{-1}","Débit annuel dépassée 1 année sur 100","Débit annuel avec une probabilité de dépassement de 1 % (centile 99 %)","1. agrégation annuelle [01-01, 31-12] - quantile à la probabilité de dépassement de 1 %","01-01, 31-12","Débit, Hautes Eaux, Intensité",NA,1,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/High_Flows/serie/Q01A.R"
"Q05A","m^{3}.s^{-1}","Annual flow exceeded 1 year in 20","Annual flow with an exceedance probability of 5 % (95th percentile)","1. annual aggregation [01-01, 12-31] - quantile at the exceedance probability of 5 %","01-01, 12-31","Flow, High Flows, Intensity","Q05A","m^{3}.s^{-1}","Débit annuel dépassée 1 année sur 20","Débit annuel avec une probabilité de dépassement de 5 % (centile 95 %)","1. agrégation annuelle [01-01, 31-12] - quantile à la probabilité de dépassement de 5 %","01-01, 31-12","Débit, Hautes Eaux, Intensité",NA,1,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/High_Flows/serie/Q05A.R"
